"","t","k"
"2421",606,11
"2425",607,11
"2429",608,11
"2433",609,11
"2437",610,11
"2441",611,11
"2445",612,11
"2449",613,11
"2453",614,11
"2457",615,11
"2461",616,11
"2465",617,11
"2469",618,11
"2473",619,11
"2477",620,11
"2481",621,11
"2485",622,11
"2489",623,11
"2493",624,11
"2497",625,11
"2501",626,11
"2505",627,11
"2509",628,11
"2513",629,11
"2517",630,11
"2521",631,11
"2525",632,11
"2529",633,11
"2533",634,11
"2537",635,11
"2541",636,11
"2545",637,11
"2549",638,11
"2553",639,11
"2557",640,11
"2561",641,11
"2565",642,11
"2569",643,11
"2573",644,11
"2577",645,11
"2581",646,11
"2585",647,11
"2589",648,11
"2593",649,11
"2597",650,11
"2601",651,11
"2605",652,11
"2609",653,11
"2613",654,11
"2617",655,11
"2621",656,11
"2625",657,11
"2629",658,11
"2633",659,11
"2637",660,11
"2641",661,11
"2645",662,11
"2649",663,11
"2653",664,11
"2657",665,11
"2661",666,11
"2665",667,11
"2669",668,11
"2673",669,11
"2677",670,11
"2681",671,11
"2685",672,11
"2689",673,12
"2693",674,12
"2697",675,12
"2701",676,12
"2705",677,12
"2709",678,12
"2713",679,12
"2717",680,12
"2721",681,12
"2725",682,12
"2729",683,12
"2733",684,12
"2737",685,12
"2741",686,12
"2745",687,12
"2749",688,12
"2753",689,12
"2757",690,12
"2761",691,12
"2765",692,12
"2769",693,12
"2773",694,12
"2777",695,12
"2781",696,12
"2785",697,12
"2789",698,12
"2793",699,12
"2797",700,12
"2801",701,12
"2805",702,12
"2809",703,12
"2813",704,12
"2817",705,12
"2821",706,12
"2825",707,12
"2829",708,12
"2833",709,12
"2837",710,12
"2841",711,12
"2845",712,12
"2849",713,12
"2853",714,12
"2857",715,12
"2861",716,12
"2865",717,12
"2869",718,12
"2873",719,12
"2877",720,12
"2881",721,12
"2885",722,12
"2889",723,12
"2893",724,12
"2897",725,12
"2901",726,12
"2905",727,12
"2909",728,12
"2913",729,12
"2917",730,12
"2921",731,12
"2925",732,12
"2929",733,12
"2933",734,12
"2937",735,12
"2941",736,12
"2945",737,12
"2949",738,12
"2953",739,12
"2957",740,12
"2961",741,12
"2965",742,12
"2969",743,12
"2973",744,12
"2977",745,12
"2981",746,12
"2985",747,12
"2989",748,12
"2993",749,12
"2997",750,12
"3001",751,12
"3005",752,12
"3009",753,12
"3013",754,12
"3017",755,12
"3021",756,12
"3025",757,12
"3029",758,12
"3033",759,12
"3037",760,12
"3041",761,12
"3045",762,12
"3049",763,12
"3053",764,12
"3057",765,12
"3061",766,12
"3065",767,12
"3069",768,12
"3073",769,12
"3077",770,12
"3081",771,12
"3085",772,12
"3089",773,12
"3093",774,12
"3097",775,13
"3101",776,13
"3105",777,13
"3109",778,13
"3113",779,13
"3117",780,13
"3121",781,13
"3125",782,13
"3129",783,13
"3133",784,13
"3137",785,13
"3141",786,14
"3145",787,14
"3149",788,14
"3153",789,14
"3157",790,14
"3161",791,14
"3165",792,14
"3169",793,14
"3173",794,14
"3177",795,14
"3181",796,14
"3185",797,14
"3189",798,14
"3193",799,14
"3197",800,14
"3201",801,14
"3205",802,14
"3209",803,14
"3213",804,14
"3217",805,14
"3221",806,14
"3225",807,14
"3229",808,14
"3233",809,14
"3237",810,14
"3241",811,14
"3245",812,14
"3249",813,14
"3253",814,14
"3257",815,14
"3261",816,14
"3265",817,14
"3269",818,14
"3273",819,14
"3277",820,14
"3281",821,14
"3285",822,14
"3289",823,14
"3293",824,14
"3297",825,14
"3301",826,14
"3305",827,14
"3309",828,14
"3313",829,14
"3317",830,14
"3321",831,14
"3325",832,14
"3329",833,14
"3333",834,14
"3337",835,14
"3341",836,14
"3345",837,14
"3349",838,14
"3353",839,14
"3357",840,14
"3361",841,14
"3365",842,14
"3369",843,14
"3373",844,14
"3377",845,14
"3381",846,14
"3385",847,14
"3389",848,14
"3393",849,14
"3397",850,14
"3401",851,14
"3405",852,14
"3409",853,14
"3413",854,14
"3417",855,14
"3421",856,14
"3425",857,14
"3429",858,14
"3433",859,14
"3437",860,14
"3441",861,14
"3445",862,14
"3449",863,14
"3453",864,14
"3457",865,14
"3461",866,14
"3465",867,14
"3469",868,14
"3473",869,14
"3477",870,14
"3481",871,14
"3485",872,14
"3489",873,14
"3493",874,14
"3497",875,14
"3501",876,14
"3505",877,14
"3509",878,14
"3513",879,14
"3517",880,14
"3521",881,14
"3525",882,14
"3529",883,14
"3533",884,14
"3537",885,14
"3541",886,14
"3545",887,14
"3549",888,14
"3553",889,14
"3557",890,14
"3561",891,14
"3565",892,14
"3569",893,14
"3573",894,14
"3577",895,14
"3581",896,14
"3585",897,14
"3589",898,14
"3593",899,14
"3597",900,14
"3601",901,14
"3605",902,14
"3609",903,14
"3613",904,14
"3617",905,14
"3621",906,14
"3625",907,14
"3629",908,14
"3633",909,14
"3637",910,14
"3641",911,14
"3645",912,14
"3649",913,14
"3653",914,14
"3657",915,14
"3661",916,14
"3665",917,14
"3669",918,14
"3673",919,14
"3677",920,14
"3681",921,14
"3685",922,14
"3689",923,14
"3693",924,14
"3697",925,14
"3701",926,14
"3705",927,14
"3709",928,14
"3713",929,14
"3717",930,14
"3721",931,14
"3725",932,14
"3729",933,14
"3733",934,14
"3737",935,14
"3741",936,14
"3745",937,14
"3749",938,14
"3753",939,14
"3757",940,14
"3761",941,14
"3765",942,14
"3769",943,14
"3773",944,14
"3777",945,14
"3781",946,14
"3785",947,14
"3789",948,14
"3793",949,14
"3797",950,14
"3801",951,14
"3805",952,14
"3809",953,14
"3813",954,14
"3817",955,14
"3821",956,14
"3825",957,14
"3829",958,14
"3833",959,14
"3837",960,14
"3841",961,14
"3845",962,14
"3849",963,14
"3853",964,14
"3857",965,14
"3861",966,14
"3865",967,14
"3869",968,14
"3873",969,14
"3877",970,14
"3881",971,14
"3885",972,14
"3889",973,14
"3893",974,14
"3897",975,14
"3901",976,14
"3905",977,14
"3909",978,14
"3913",979,14
"3917",980,14
"3921",981,14
"3925",982,14
"3929",983,14
"3933",984,14
"3937",985,14
"3941",986,14
"3945",987,14
"3949",988,14
"3953",989,14
"3957",990,14
"3961",991,14
"3965",992,14
"3969",993,14
"3973",994,14
"3977",995,14
"3981",996,14
"3985",997,14
"3989",998,14
"3993",999,14
"3997",1000,14
"4001",1001,14
"4005",1002,14
"4009",1003,14
"4013",1004,14
"4017",1005,14
"4021",1006,14
"4025",1007,14
"4029",1008,14
"4033",1009,14
"4037",1010,14
"4041",1011,14
"4045",1012,14
"4049",1013,14
"4053",1014,14
"4057",1015,14
"4061",1016,14
"4065",1017,14
"4069",1018,14
"4073",1019,14
"4077",1020,14
"4081",1021,14
"4085",1022,14
"4089",1023,14
"4093",1024,14
"4097",1025,14
"4101",1026,14
"4105",1027,14
"4109",1028,14
"4113",1029,14
"4117",1030,14
"4121",1031,14
"4125",1032,14
"4129",1033,14
"4133",1034,14
"4137",1035,14
"4141",1036,14
"4145",1037,14
"4149",1038,14
"4153",1039,14
"4157",1040,14
"4161",1041,14
"4165",1042,14
"4169",1043,14
"4173",1044,14
"4177",1045,14
"4181",1046,14
"4185",1047,14
"4189",1048,14
"4193",1049,14
"4197",1050,14
"4201",1051,14
"4205",1052,14
"4209",1053,14
"4213",1054,14
"4217",1055,14
"4221",1056,14
"4225",1057,14
"4229",1058,14
"4233",1059,14
"4237",1060,14
"4241",1061,14
"4245",1062,14
"4249",1063,14
"4253",1064,14
"4257",1065,14
"4261",1066,14
"4265",1067,14
"4269",1068,14
"4273",1069,14
"4277",1070,14
"4281",1071,14
"4285",1072,14
"4289",1073,14
"4293",1074,14
"4297",1075,14
"4301",1076,14
"4305",1077,14
"4309",1078,14
"4313",1079,14
"4317",1080,14
"4321",1081,14
"4325",1082,14
"4329",1083,14
"4333",1084,14
"4337",1085,14
"4341",1086,14
"4345",1087,14
"4349",1088,14
"4353",1089,14
"4357",1090,14
"4361",1091,14
"4365",1092,14
"4369",1093,14
"4373",1094,14
"4377",1095,14
"4381",1096,14
"4385",1097,14
"4389",1098,14
"4393",1099,14
"4397",1100,14
"4401",1101,14
"4405",1102,14
"4409",1103,14
"4413",1104,14
"4417",1105,14
"4421",1106,14
"4425",1107,14
"4429",1108,14
"4433",1109,14
"4437",1110,14
"4441",1111,14
"4445",1112,14
"4449",1113,14
"4453",1114,14
"4457",1115,14
"4461",1116,14
"4465",1117,14
"4469",1118,14
"4473",1119,14
"4477",1120,14
"4481",1121,14
"4485",1122,14
"4489",1123,14
"4493",1124,14
"4497",1125,14
"4501",1126,14
"4505",1127,14
"4509",1128,14
"4513",1129,14
"4517",1130,14
"4521",1131,14
"4525",1132,14
"4529",1133,14
"4533",1134,14
"4537",1135,14
"4541",1136,14
"4545",1137,14
"4549",1138,14
"4553",1139,14
"4557",1140,14
"4561",1141,14
"4565",1142,14
"4569",1143,14
"4573",1144,14
"4577",1145,14
"4581",1146,14
"4585",1147,14
"4589",1148,14
"4593",1149,14
"4597",1150,14
"4601",1151,14
"4605",1152,14
"4609",1153,14
"4613",1154,14
"4617",1155,14
"4621",1156,14
"4625",1157,14
"4629",1158,14
"4633",1159,14
"4637",1160,14
"4641",1161,14
"4645",1162,14
"4649",1163,14
"4653",1164,14
"4657",1165,14
"4661",1166,14
"4665",1167,14
"4669",1168,14
"4673",1169,14
"4677",1170,14
"4681",1171,14
"4685",1172,14
"4689",1173,14
"4693",1174,14
"4697",1175,14
"4701",1176,14
"4705",1177,14
"4709",1178,14
"4713",1179,14
"4717",1180,14
"4721",1181,14
"4725",1182,14
"4729",1183,14
"4733",1184,14
"4737",1185,14
"4741",1186,14
"4745",1187,14
"4749",1188,14
"4753",1189,14
"4757",1190,14
"4761",1191,14
"4765",1192,14
"4769",1193,14
"4773",1194,14
"4777",1195,14
"4781",1196,14
"4785",1197,14
"4789",1198,14
"4793",1199,14
"4797",1200,14
"4801",1201,14
"4805",1202,14
"4809",1203,14
"4813",1204,14
"4817",1205,14
"4821",1206,14
"4825",1207,14
"4829",1208,14
"4833",1209,14
"4837",1210,14
"4841",1211,14
"4845",1212,14
"4849",1213,14
"4853",1214,14
"4857",1215,14
"4861",1216,14
"4865",1217,14
"4869",1218,14
"4873",1219,14
"4877",1220,14
"4881",1221,14
"4885",1222,14
"4889",1223,14
"4893",1224,14
"4897",1225,14
"4901",1226,14
"4905",1227,14
"4909",1228,14
"4913",1229,14
"4917",1230,14
"4921",1231,14
"4925",1232,14
"4929",1233,14
"4933",1234,14
"4937",1235,14
"4941",1236,14
"4945",1237,14
"4949",1238,14
"4953",1239,14
"4957",1240,14
"4961",1241,14
"4965",1242,14
