"","t","k"
"3260",1814,10
"3264",1815,10
"3268",1816,10
"3272",1817,10
"3276",1818,10
"3280",1819,10
"3284",1820,10
"3288",1821,10
"3292",1822,10
"3296",1823,10
"3300",1824,10
"3304",1825,10
"3308",1826,10
"3312",1827,10
"3316",1828,10
"3320",1829,10
"3324",1830,10
"3328",1831,10
"3332",1832,10
"3336",1833,10
"3340",1834,10
"3344",1835,10
"3348",1836,10
"3352",1837,10
"3356",1838,10
"3360",1839,10
"3364",1840,10
"3368",1841,10
"3372",1842,10
"3376",1843,10
"3380",1844,10
"3384",1845,10
"3388",1846,10
"3392",1847,10
"3396",1848,10
"3400",1849,10
"3404",1850,10
"3408",1851,10
"3412",1852,10
"3416",1853,10
"3420",1854,10
"3424",1855,10
"3428",1856,10
"3432",1857,10
"3436",1858,10
"3440",1859,10
"3444",1860,10
"3448",1861,10
"3452",1862,10
"3456",1863,10
"3460",1864,10
"3464",1865,10
"3468",1866,10
"3472",1867,10
"3476",1868,10
"3480",1869,10
"3484",1870,10
"3488",1871,10
"3492",1872,10
"3496",1873,10
"3500",1874,10
"3504",1875,10
"3508",1876,10
"3512",1877,10
"3516",1878,10
"3520",1879,10
"3524",1880,10
"3528",1881,10
"3532",1882,10
"3536",1883,10
"3540",1884,10
"3544",1885,10
"3548",1886,10
"3552",1887,10
"3556",1888,10
"3560",1889,10
"3564",1890,10
"3568",1891,10
"3572",1892,10
"3576",1893,10
"3580",1894,10
"3584",1895,10
"3588",1896,10
"3592",1897,10
"3596",1898,10
"3600",1899,10
"3604",1900,10
"3608",1901,10
"3612",1902,10
"3616",1903,10
"3620",1904,10
"3624",1905,10
"3628",1906,10
"3632",1907,10
"3636",1908,10
"3640",1909,10
"3644",1910,10
"3648",1911,10
"3652",1912,10
"3656",1913,10
"3660",1914,10
"3664",1915,10
"3668",1916,10
"3672",1917,10
"3676",1918,10
"3680",1919,10
"3684",1920,10
"3688",1921,10
"3692",1922,10
"3696",1923,10
"3700",1924,10
"3704",1925,10
"3708",1926,10
"3712",1927,10
"3716",1928,10
"3720",1929,10
"3724",1930,10
"3728",1931,10
"3732",1932,10
"3736",1933,10
"3740",1934,10
"3744",1935,10
"3748",1936,10
"3752",1937,10
"3756",1938,10
"3760",1939,10
"3764",1940,10
"3768",1941,10
"3772",1942,10
"3776",1943,10
"3780",1944,10
"3784",1945,10
"3788",1946,10
"3792",1947,10
"3796",1948,10
"3800",1949,10
"3804",1950,10
"3808",1951,10
"3812",1952,10
"3816",1953,10
"3820",1954,10
"3824",1955,10
"3828",1956,10
"3832",1957,10
"3836",1958,10
"3840",1959,10
"3844",1960,10
"3848",1961,10
"3852",1962,10
"3856",1963,10
"3860",1964,10
"3864",1965,10
"3868",1966,10
"3872",1967,10
"3876",1968,10
"3880",1969,10
"3884",1970,10
"3888",1971,10
"3892",1972,10
"3896",1973,10
"3900",1974,10
"3904",1975,10
"3908",1976,10
"3912",1977,10
"3916",1978,10
"3920",1979,10
"3924",1980,10
"3928",1981,10
"3932",1982,10
"3936",1983,10
"3940",1984,10
"3944",1985,10
"3948",1986,10
"3952",1987,10
"3956",1988,10
"3960",1989,10
"3964",1990,10
"3968",1991,10
"3972",1992,10
"3976",1993,10
"3980",1994,10
"3984",1995,10
"3988",1996,10
"3992",1997,10
"3996",1998,10
"4000",1999,10
"4004",2000,10
"4008",2001,10
"4012",2002,10
"4016",2003,10
"4020",2004,10
"4024",2005,10
"4028",2006,10
"4032",2007,10
"4036",2008,10
"4040",2009,10
"4044",2010,10
"4048",2011,10
"4052",2012,10
"4056",2013,10
"4060",2014,10
"4064",2015,10
"4068",2016,10
"4072",2017,10
"4076",2018,10
"4080",2019,10
"4084",2020,10
"4088",2021,10
"4092",2022,10
"4096",2023,10
"4100",2024,10
"4104",2025,10
"4108",2026,10
"4112",2027,10
"4116",2028,10
"4120",2029,10
"4124",2030,10
"4128",2031,10
"4132",2032,10
"4136",2033,10
"4140",2034,10
"4144",2035,10
"4148",2036,10
"4152",2037,10
"4156",2038,10
"4160",2039,10
"4164",2040,10
"4168",2041,10
"4172",2042,10
"4176",2043,10
"4180",2044,10
"4184",2045,10
"4188",2046,10
"4192",2047,10
"4196",2048,10
"4200",2049,10
"4204",2050,10
"4208",2051,10
"4212",2052,10
"4216",2053,10
"4220",2054,10
"4224",2055,10
"4228",2056,10
"4232",2057,10
"4236",2058,10
"4240",2059,10
"4244",2060,10
"4248",2061,10
"4252",2062,10
"4256",2063,10
"4260",2064,10
"4264",2065,10
"4268",2066,10
"4272",2067,10
"4276",2068,10
"4280",2069,10
"4284",2070,10
"4288",2071,10
"4292",2072,10
"4296",2073,10
"4300",2074,10
"4304",2075,10
"4308",2076,10
"4312",2077,10
"4316",2078,10
"4320",2079,10
"4324",2080,10
"4328",2081,10
"4332",2082,10
"4336",2083,10
"4340",2084,10
"4344",2085,10
"4348",2086,10
"4352",2087,10
"4356",2088,10
"4360",2089,10
"4364",2090,10
"4368",2091,10
"4372",2092,10
"4376",2093,10
"4380",2094,10
"4384",2095,10
"4388",2096,10
"4392",2097,10
"4396",2098,10
"4400",2099,10
"4404",2100,10
"4408",2101,10
"4412",2102,10
"4416",2103,10
"4420",2104,10
"4424",2105,10
"4428",2106,10
"4432",2107,10
"4436",2108,10
"4440",2109,10
"4444",2110,10
"4448",2111,10
"4452",2112,10
"4456",2113,10
"4460",2114,10
"4464",2115,10
"4468",2116,10
"4472",2117,10
"4476",2118,10
"4480",2119,10
"4484",2120,10
"4488",2121,10
"4492",2122,10
"4496",2123,10
"4500",2124,10
"4504",2125,10
"4508",2126,10
"4512",2127,10
"4516",2128,10
"4520",2129,10
"4524",2130,10
"4528",2131,10
"4532",2132,10
"4536",2133,10
"4540",2134,10
"4544",2135,10
"4548",2136,10
"4552",2137,10
"4556",2138,10
"4560",2139,10
"4564",2140,10
"4568",2141,10
"4572",2142,10
"4576",2143,10
"4580",2144,10
"4584",2145,10
"4588",2146,10
"4592",2147,10
"4596",2148,10
"4600",2149,10
"4604",2150,10
"4608",2151,10
"4612",2152,10
"4616",2153,10
"4620",2154,10
"4624",2155,10
"4628",2156,10
"4632",2157,10
"4636",2158,10
"4640",2159,10
"4644",2160,10
"4648",2161,10
"4652",2162,10
"4656",2163,10
"4660",2164,10
"4664",2165,10
"4668",2166,10
"4672",2167,10
"4676",2168,10
"4680",2169,10
"4684",2170,10
"4688",2171,10
"4692",2172,10
"4696",2173,10
"4700",2174,10
"4704",2175,10
"4708",2176,10
"4712",2177,10
"4716",2178,10
"4720",2179,10
"4724",2180,10
"4728",2181,10
"4732",2182,10
"4736",2183,10
"4740",2184,10
"4744",2185,10
"4748",2186,10
"4752",2187,10
"4756",2188,10
"4760",2189,10
"4764",2190,10
"4768",2191,10
"4772",2192,10
"4776",2193,10
"4780",2194,10
"4784",2195,10
"4788",2196,10
"4792",2197,10
"4796",2198,10
"4800",2199,10
"4804",2200,10
"4808",2201,10
"4812",2202,10
"4816",2203,10
"4820",2204,10
"4824",2205,10
"4828",2206,10
"4832",2207,10
"4836",2208,10
"4840",2209,10
"4844",2210,10
"4848",2211,10
"4852",2212,10
"4856",2213,10
"4860",2214,10
"4864",2215,10
"4868",2216,10
"4872",2217,10
"4876",2218,10
"4880",2219,10
"4884",2220,10
"4888",2221,10
"4892",2222,10
"4896",2223,10
"4900",2224,10
"4904",2225,10
"4908",2226,10
"4912",2227,10
"4916",2228,10
"4920",2229,10
"4924",2230,10
"4928",2231,10
"4932",2232,10
"4936",2233,10
"4940",2234,10
"4944",2235,10
"4948",2236,10
"4952",2237,10
"4956",2238,10
"4960",2239,10
"4964",2240,10
"4968",2241,10
"4972",2242,10
"4976",2243,10
"4980",2244,10
"4984",2245,10
"4988",2246,11
"4992",2247,11
"4996",2248,11
"5000",2249,11
"5004",2250,11
"5008",2251,11
"5012",2252,11
"5016",2253,11
"5020",2254,11
"5024",2255,11
"5028",2256,11
"5032",2257,11
"5036",2258,11
"5040",2259,11
"5044",2260,11
"5048",2261,11
"5052",2262,11
"5056",2263,11
"5060",2264,11
"5064",2265,11
"5068",2266,11
"5072",2267,11
"5076",2268,11
"5080",2269,11
"5084",2270,11
"5088",2271,11
"5092",2272,11
"5096",2273,11
"5100",2274,11
"5104",2275,11
"5108",2276,11
"5112",2277,11
"5116",2278,11
"5120",2279,11
"5124",2280,11
"5128",2281,11
"5132",2282,11
"5136",2283,11
"5140",2284,11
"5144",2285,11
"5148",2286,11
"5152",2287,11
"5156",2288,11
"5160",2289,11
"5164",2290,11
"5168",2291,11
"5172",2292,11
"5176",2293,11
"5180",2294,11
"5184",2295,11
"5188",2296,11
"5192",2297,11
"5196",2298,11
"5200",2299,11
"5204",2300,11
"5208",2301,11
"5212",2302,11
"5216",2303,11
"5220",2304,11
"5224",2305,11
"5228",2306,11
"5232",2307,11
"5236",2308,11
"5240",2309,11
"5244",2310,11
"5248",2311,12
"5252",2312,12
"5256",2313,12
"5260",2314,12
"5264",2315,12
"5268",2316,12
"5272",2317,12
"5276",2318,12
"5280",2319,12
"5284",2320,12
"5288",2321,12
"5292",2322,12
"5296",2323,12
"5300",2324,12
"5304",2325,12
"5308",2326,12
"5312",2327,12
"5316",2328,12
"5320",2329,12
"5324",2330,12
"5328",2331,12
"5332",2332,12
"5336",2333,12
"5340",2334,12
"5344",2335,12
"5348",2336,12
"5352",2337,12
"5356",2338,12
"5360",2339,12
"5364",2340,12
"5368",2341,12
"5372",2342,12
"5376",2343,12
"5380",2344,12
"5384",2345,12
"5388",2346,12
"5392",2347,12
"5396",2348,12
"5400",2349,12
"5404",2350,12
"5408",2351,12
"5412",2352,12
"5416",2353,12
"5420",2354,12
"5424",2355,12
"5428",2356,12
"5432",2357,12
"5436",2358,12
"5440",2359,12
"5444",2360,12
"5448",2361,12
"5452",2362,12
"5456",2363,12
"5460",2364,12
"5464",2365,12
"5468",2366,12
"5472",2367,12
"5476",2368,12
"5480",2369,12
"5484",2370,12
"5488",2371,12
"5492",2372,12
"5496",2373,12
"5500",2374,12
"5504",2375,12
"5508",2376,12
"5512",2377,12
"5516",2378,12
"5520",2379,12
"5524",2380,12
"5528",2381,12
"5532",2382,12
"5536",2383,12
"5540",2384,12
"5544",2385,12
"5548",2386,12
"5552",2387,12
"5556",2388,12
"5560",2389,12
"5564",2390,12
"5568",2391,12
"5572",2392,12
"5576",2393,12
"5580",2394,12
"5584",2395,12
"5588",2396,12
"5592",2397,12
"5596",2398,12
"5600",2399,12
"5604",2400,12
"5608",2401,12
"5612",2402,12
"5616",2403,12
"5620",2404,12
"5624",2405,12
"5628",2406,12
"5632",2407,12
"5636",2408,12
"5640",2409,12
"5644",2410,12
"5648",2411,12
"5652",2412,12
"5656",2413,12
"5660",2414,12
"5664",2415,12
"5668",2416,12
"5672",2417,12
"5676",2418,12
"5680",2419,12
"5684",2420,12
"5688",2421,12
"5692",2422,12
"5696",2423,12
"5700",2424,12
"5704",2425,12
"5708",2426,12
"5712",2427,12
"5716",2428,12
"5720",2429,12
"5724",2430,12
"5728",2431,12
"5732",2432,12
"5736",2433,12
"5740",2434,12
"5744",2435,12
"5748",2436,12
